model,split,test_month,n,observed_defaults,predicted_defaults,count_error,absolute_count_error,relative_count_error,absolute_relative_count_error,observed_default_rate,predicted_default_rate,count_error_rate,absolute_count_error_rate,p_stress_mean,hard_stress_share
regime_aware_dynamic_stress_robustness_logit,test,2023-04,200066,1117.0,734.2207327341348,-382.7792672658652,382.7792672658652,-0.3426851094591452,0.3426851094591452,0.005583157558005858,0.003669892599112967,-0.0019132649588928913,0.0019132649588928913,0.999958480201736,1.0
regime_aware_dynamic_stress_robustness_logit,test,2023-05,202454,1134.0,617.509246022776,-516.490753977224,516.490753977224,-0.4554592186748007,0.4554592186748007,0.005601272387801674,0.003050121242468788,-0.0025511511453328857,0.0025511511453328857,0.999999899954197,1.0
regime_aware_dynamic_stress_robustness_logit,test,2023-06,205586,1185.0,546.7722337559559,-638.2277662440441,638.2277662440441,-0.538588832273455,0.538588832273455,0.0057640111680756475,0.002659579123850631,-0.003104432044225016,0.003104432044225016,0.9999999744544451,1.0
regime_aware_dynamic_stress_robustness_logit,test,2023-07,208458,1236.0,507.9174142652063,-728.0825857347937,728.0825857347937,-0.5890635806915807,0.5890635806915807,0.005929251935641712,0.0024365455596101196,-0.0034927063760315925,0.0034927063760315925,0.9999999913803682,1.0
regime_aware_dynamic_stress_robustness_logit,test,2023-08,211302,1256.0,416.0584242693549,-839.9415757306451,839.9415757306451,-0.6687432927791761,0.6687432927791761,0.0059440989673547814,0.001969022651320645,-0.0039750763160341365,0.0039750763160341365,0.9999999999215948,1.0
regime_aware_dynamic_stress_robustness_logit,test,2023-09,214272,1322.0,384.6684493687716,-937.3315506312284,937.3315506312284,-0.7090253786923059,0.7090253786923059,0.006169728195937874,0.0017952343253844253,-0.004374493870553448,0.004374493870553448,0.999999999776407,1.0
regime_aware_dynamic_stress_robustness_logit,test,2023-10,216233,1379.0,351.81876725998035,-1027.1812327400196,1027.1812327400196,-0.7448739903843506,0.7448739903843506,0.006377379955880925,0.0016270354999467257,-0.0047503444559341985,0.0047503444559341985,0.9999999999985208,1.0
regime_aware_dynamic_stress_robustness_logit,test,2023-11,219245,1412.0,305.8301966152386,-1106.1698033847615,1106.1698033847615,-0.7834063763348169,0.7834063763348169,0.006440283700882574,0.0013949243842059733,-0.005045359316676602,0.005045359316676602,0.9999998574907759,1.0
regime_aware_dynamic_stress_robustness_logit,test,2023-12,221251,1516.0,282.4289327105282,-1233.5710672894718,1233.5710672894718,-0.8137012317212875,0.8137012317212875,0.006851946431880534,0.0012765091805710628,-0.005575437251309471,0.005575437251309471,0.999936355129158,1.0
regime_aware_dynamic_stress_robustness_logit,test,2024-01,223304,1595.0,232.09965765583718,-1362.9003423441627,1362.9003423441627,-0.8544829732565283,0.8544829732565283,0.007142729194282234,0.0010393887151857431,-0.00610334047909649,0.00610334047909649,0.999999365530501,1.0
regime_aware_dynamic_stress_robustness_logit,test,2024-02,225349,1626.0,203.37336131042446,-1422.6266386895754,1422.6266386895754,-0.8749241320354092,0.8749241320354092,0.007215474663743793,0.000902481756344268,-0.006312992907399524,0.006312992907399524,0.9999999754984987,1.0
regime_aware_dynamic_stress_robustness_logit,test,2024-03,227891,1652.0,165.8960843559275,-1486.1039156440725,1486.1039156440725,-0.8995786414310366,0.8995786414310366,0.0072490796038456986,0.000727962422192748,-0.00652111718165295,0.00652111718165295,0.999999790387866,1.0
regime_aware_dynamic_stress_robustness_logit,test,2024-04,230753,1700.0,138.7873727446179,-1561.2126272553821,1561.2126272553821,-0.9183603689737542,0.9183603689737542,0.007367184825332715,0.0006014542508423201,-0.006765730574490395,0.006765730574490395,0.9999999993852525,1.0
regime_aware_dynamic_stress_robustness_logit,test,2024-05,232956,1748.0,123.13179674051628,-1624.8682032594838,1624.8682032594838,-0.9295584686839152,0.9295584686839152,0.007503562904582839,0.0005285624613253846,-0.006975000443257455,0.006975000443257455,0.9999999930838859,1.0
