month_date,fold,p_stress,hard_stress,hmm_state,hmm_stress_state,selected_seed,train_end
2016-06-01,origin_2023_04,0.9998354324262053,1,1,1,71,2022-03-01
2016-07-01,origin_2023_04,0.9996228916908612,1,1,1,71,2022-03-01
2016-08-01,origin_2023_04,0.9997958009948804,1,1,1,71,2022-03-01
2016-09-01,origin_2023_04,0.9998551036225414,1,1,1,71,2022-03-01
2016-10-01,origin_2023_04,0.998931152411416,1,1,1,71,2022-03-01
2016-11-01,origin_2023_04,0.9999788708485644,1,1,1,71,2022-03-01
2016-12-01,origin_2023_04,0.9999972045988893,1,1,1,71,2022-03-01
2017-01-01,origin_2023_04,0.9999863263972151,1,1,1,71,2022-03-01
2017-02-01,origin_2023_04,0.9999800979851947,1,1,1,71,2022-03-01
2017-03-01,origin_2023_04,0.9999926958125346,1,1,1,71,2022-03-01
2017-04-01,origin_2023_04,0.9999444700026766,1,1,1,71,2022-03-01
2017-05-01,origin_2023_04,0.999985547592588,1,1,1,71,2022-03-01
2017-06-01,origin_2023_04,0.9999883867841759,1,1,1,71,2022-03-01
2017-07-01,origin_2023_04,0.999998409841481,1,1,1,71,2022-03-01
2017-08-01,origin_2023_04,0.9999524472462695,1,1,1,71,2022-03-01
2017-09-01,origin_2023_04,0.9999883643867228,1,1,1,71,2022-03-01
2017-10-01,origin_2023_04,0.9999862708458089,1,1,1,71,2022-03-01
2017-11-01,origin_2023_04,0.9999951589641757,1,1,1,71,2022-03-01
2017-12-01,origin_2023_04,0.99999909341459,1,1,1,71,2022-03-01
2018-01-01,origin_2023_04,0.9999980287450394,1,1,1,71,2022-03-01
2018-02-01,origin_2023_04,0.9999990564931697,1,1,1,71,2022-03-01
2018-03-01,origin_2023_04,0.9999973056628353,1,1,1,71,2022-03-01
2018-04-01,origin_2023_04,0.9999997693329199,1,1,1,71,2022-03-01
2018-05-01,origin_2023_04,0.999999983731873,1,1,1,71,2022-03-01
2018-06-01,origin_2023_04,0.9999999262909591,1,1,1,71,2022-03-01
2018-07-01,origin_2023_04,0.9999999681065049,1,1,1,71,2022-03-01
2018-08-01,origin_2023_04,0.9999999933704626,1,1,1,71,2022-03-01
2018-09-01,origin_2023_04,0.9999999986674424,1,1,1,71,2022-03-01
2018-10-01,origin_2023_04,0.9999999997390159,1,1,1,71,2022-03-01
2018-11-01,origin_2023_04,0.9999999915460589,1,1,1,71,2022-03-01
2018-12-01,origin_2023_04,0.9999995222792077,1,1,1,71,2022-03-01
2019-01-01,origin_2023_04,0.9999963421978402,1,1,1,71,2022-03-01
2019-02-01,origin_2023_04,0.9999999748258411,1,1,1,71,2022-03-01
2019-03-01,origin_2023_04,0.9999999490951446,1,1,1,71,2022-03-01
2019-04-01,origin_2023_04,0.9999999873439939,1,1,1,71,2022-03-01
2019-05-01,origin_2023_04,0.9999998749263039,1,1,1,71,2022-03-01
2019-06-01,origin_2023_04,0.9999987749751237,1,1,1,71,2022-03-01
2019-07-01,origin_2023_04,0.9999998566317546,1,1,1,71,2022-03-01
2019-08-01,origin_2023_04,0.9999842707598793,1,1,1,71,2022-03-01
2019-09-01,origin_2023_04,0.9999995868347434,1,1,1,71,2022-03-01
2019-10-01,origin_2023_04,0.9999996562416448,1,1,1,71,2022-03-01
2019-11-01,origin_2023_04,0.9999998377251411,1,1,1,71,2022-03-01
2019-12-01,origin_2023_04,0.9999993864028127,1,1,1,71,2022-03-01
2020-01-01,origin_2023_04,0.9999982027024675,1,1,1,71,2022-03-01
2020-02-01,origin_2023_04,0.9998651499271372,1,1,1,71,2022-03-01
2020-03-01,origin_2023_04,1.5194641661792296e-37,0,0,1,71,2022-03-01
2020-04-01,origin_2023_04,1.5162405028211238e-268,0,0,1,71,2022-03-01
2020-05-01,origin_2023_04,2.9299024577757313e-19,0,0,1,71,2022-03-01
2020-06-01,origin_2023_04,1.891667430467967e-14,0,0,1,71,2022-03-01
2020-07-01,origin_2023_04,4.340781514444177e-25,0,0,1,71,2022-03-01
2020-08-01,origin_2023_04,6.350851435703588e-19,0,0,1,71,2022-03-01
2020-09-01,origin_2023_04,2.2670032772891255e-23,0,0,1,71,2022-03-01
